panel,condition,method,rate,wilson95_low,wilson95_high,p05,median,p95,trial,first_1cm_slot,stopped
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,20,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,21,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,22,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,23,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,24,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,25,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,26,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,27,8,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,28,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,29,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,30,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,31,10,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,32,10,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,33,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,34,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,35,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,36,10,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,37,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,38,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,39,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,40,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,41,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,42,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,43,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,44,7,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,45,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,46,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,47,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,48,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,49,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,50,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,51,14,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,52,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,53,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,54,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,55,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,56,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,57,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,58,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,59,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,60,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,61,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,62,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,63,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,64,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,65,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,66,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,67,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,68,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,69,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,70,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,71,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,72,10,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,73,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,74,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,75,14,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,76,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,77,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,78,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,79,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,80,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,81,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,82,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,83,7,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,84,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,85,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,86,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,87,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,88,9,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,89,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,90,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,91,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,92,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,93,8,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,94,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,95,13,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,96,12,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,97,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,98,11,True
exact_first_1cm_slot,exact,two_configuration_gain_1,,,,,,,99,13,True
