gain,condition,trial,terminal_max_error_m
0.5,actuation_1pct,89,1.958175453695423e-06
0.5,actuation_1pct,90,1.9231055769422727e-06
0.5,actuation_1pct,91,1.1497593578584171e-06
0.5,actuation_1pct,92,1.4157671642239853e-06
0.5,actuation_1pct,93,2.1634883163289475e-06
0.5,actuation_1pct,94,1.914895196088484e-06
0.5,actuation_1pct,95,1.108490559795478e-06
0.5,actuation_1pct,96,1.916858334289891e-06
0.5,actuation_1pct,97,1.6873780537013846e-06
0.5,actuation_1pct,98,1.5479386129610346e-06
0.5,actuation_1pct,99,1.9656951204550894e-06
0.5,combined_0.001deg_1pct,0,0.007417883956559086
0.5,combined_0.001deg_1pct,1,0.005208099819448405
0.5,combined_0.001deg_1pct,2,0.007962459642321158
0.5,combined_0.001deg_1pct,3,0.007280596059602138
0.5,combined_0.001deg_1pct,4,0.0059798545695838685
0.5,combined_0.001deg_1pct,5,0.005947367571794665
0.5,combined_0.001deg_1pct,6,0.007988506313336592
0.5,combined_0.001deg_1pct,7,0.006607977408960416
0.5,combined_0.001deg_1pct,8,0.0071013950650758665
0.5,combined_0.001deg_1pct,9,0.007581662721892508
0.5,combined_0.001deg_1pct,10,0.0062617927115383365
0.5,combined_0.001deg_1pct,11,0.005417565811150965
0.5,combined_0.001deg_1pct,12,0.00613110515753949
0.5,combined_0.001deg_1pct,13,0.0056484676033873886
0.5,combined_0.001deg_1pct,14,0.004643874520388132
0.5,combined_0.001deg_1pct,15,0.004617417319567452
0.5,combined_0.001deg_1pct,16,0.006219016125772601
0.5,combined_0.001deg_1pct,17,0.008576361771555286
0.5,combined_0.001deg_1pct,18,0.005431182612044703
0.5,combined_0.001deg_1pct,19,0.007612026107376181
0.5,combined_0.001deg_1pct,20,0.005474939424918151
0.5,combined_0.001deg_1pct,21,0.005993612840180181
0.5,combined_0.001deg_1pct,22,0.004797560006135163
0.5,combined_0.001deg_1pct,23,0.008159075782852928
0.5,combined_0.001deg_1pct,24,0.008982464137382073
0.5,combined_0.001deg_1pct,25,0.006893843290662452
0.5,combined_0.001deg_1pct,26,0.005058797227868874
0.5,combined_0.001deg_1pct,27,0.009126336478579139
0.5,combined_0.001deg_1pct,28,0.007294397017003409
0.5,combined_0.001deg_1pct,29,0.0074093308702565695
0.5,combined_0.001deg_1pct,30,0.0058858431398044276
0.5,combined_0.001deg_1pct,31,0.00655406637629632
0.5,combined_0.001deg_1pct,32,0.008547593589289696
0.5,combined_0.001deg_1pct,33,0.00720722496505306
0.5,combined_0.001deg_1pct,34,0.005334446189604712
0.5,combined_0.001deg_1pct,35,0.004639379994002021
0.5,combined_0.001deg_1pct,36,0.005384082193014333
0.5,combined_0.001deg_1pct,37,0.005750218488150287
0.5,combined_0.001deg_1pct,38,0.008876798225654178
0.5,combined_0.001deg_1pct,39,0.005544940202702138
0.5,combined_0.001deg_1pct,40,0.005625230579974865
0.5,combined_0.001deg_1pct,41,0.00786582863797527
0.5,combined_0.001deg_1pct,42,0.0062281274448427555
0.5,combined_0.001deg_1pct,43,0.004658849756499322
0.5,combined_0.001deg_1pct,44,0.00812170552157088
0.5,combined_0.001deg_1pct,45,0.004558596949077134
0.5,combined_0.001deg_1pct,46,0.010063721999606468
0.5,combined_0.001deg_1pct,47,0.0041368251116532485
0.5,combined_0.001deg_1pct,48,0.006510205740874061
0.5,combined_0.001deg_1pct,49,0.007424881737325466
0.5,combined_0.001deg_1pct,50,0.004305860667753495
0.5,combined_0.001deg_1pct,51,0.00765519076295079
0.5,combined_0.001deg_1pct,52,0.006899929914394824
0.5,combined_0.001deg_1pct,53,0.0084761755035731
0.5,combined_0.001deg_1pct,54,0.007056835955409407
0.5,combined_0.001deg_1pct,55,0.006218467697356713
0.5,combined_0.001deg_1pct,56,0.009119911861670632
0.5,combined_0.001deg_1pct,57,0.004715716545033234
0.5,combined_0.001deg_1pct,58,0.005628980981373836
0.5,combined_0.001deg_1pct,59,0.006456088929454407
0.5,combined_0.001deg_1pct,60,0.00845633473463171
0.5,combined_0.001deg_1pct,61,0.007290563207046833
0.5,combined_0.001deg_1pct,62,0.006786290003412286
