amplitude_d,direction_deg,delta_c_x,delta_c_y,receiver_id,candidate_bias_x,candidate_bias_y,candidate_bias_norm_d,linear_prediction_x,linear_prediction_y,linear_error_d,accepted,full_residual_rad,message
0.02,45,0.014142135623730952,0.014142135623730949,3,-0.01917457694897795,0.00464815806597807,0.01972992079504106,-0.01951871375388219,0.004829629131445342,0.00038905255183782704,True,1.3322676295501878e-15,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,4,-0.004446561475595523,-0.0025748449894540393,0.005138261931428448,-0.004482877360840269,-0.0025881904510252104,3.86903717435896e-05,True,1.1057821325266559e-13,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,5,-0.009819262555149644,-2.385738815213756e-05,0.009819291537678946,-0.009899494936611667,0.0,8.370430099170125e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,6,-0.016594324884761757,0.00947532721955624,0.01910898857340929,-0.016730326074756163,0.009659258262890689,0.00022875085219949102,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,7,-0.003713286178601838,-0.0038689219293591703,0.005362560129236009,-0.003735731134033557,-0.0038822856765378137,2.6122131670033483e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,8,-0.007667072566939215,-0.001487267482662813,0.007809991441205174,-0.007708824238931011,-0.00148356391649411,4.1915611846619676e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,9,-0.01132137708985903,0.0021532407356044114,0.011524323185170188,-0.011383058853105777,0.002190670697680657,7.21501349843287e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,10,-0.0138966286799036,0.014304025411138621,0.019942954435830683,-0.013941938395630134,0.014488887394336025,0.00019033371527634398,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,12,-0.010018751338029097,-1.6706333872803803e-16,0.010018751338029097,-0.010059652719092323,0.0,4.090138106322555e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,13,-0.014084635340734453,-2.2259160673777034e-16,0.014084635340734453,-0.014142135623730952,0.0,5.750028299649976e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,45,0.014142135623730952,0.014142135623730949,14,-0.01815051934344014,-3.820412115139122e-19,0.01815051934344014,-0.018224618528369582,0.0,7.40991849294409e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,2,0.00986754603952722,0.0024160476402923514,0.010159023134256146,0.010103629710818456,0.0025000000000000005,0.00025056635558436574,True,0.0,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,3,-0.00986754603952722,0.0024160476402919073,0.01015902313425604,-0.010103629710818457,0.002500000000000001,0.00025056635558451634,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,4,0.008561326030806393,0.004914752181288673,0.009871731986295259,0.008660254037844388,0.005000000000000003,0.0001305907392258323,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,5,0.0,0.0,0.0,-8.572527594031472e-19,0.0,8.572527594031472e-19,True,0.0,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,6,-0.008561326030806171,0.004914752181288229,0.009871731986294844,-0.00866025403784439,0.005000000000000004,0.0001305907392262923,True,0.0,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,7,0.007169871595374078,0.007414298407307229,0.010314013746682255,0.0072168783648703235,0.0075,9.774660796442352e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,8,0.0025782283371635906,0.0004948538815382486,0.002625288883652008,0.002598076211353315,0.0004999999999999998,2.050416165254034e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,9,-0.0025782283371635906,0.0004948538815382486,0.002625288883652008,-0.0025980762113533167,0.0005,2.0504161652542073e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,10,-0.0071698715953743,0.007414298407307562,0.01031401374668265,-0.007216878364870324,0.007500000000000001,9.774660796402589e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,12,0.005740360703919478,8.67046887908172e-20,0.005740360703919478,0.005773502691896256,0.0,3.3141987976778066e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,13,0.0,0.0,0.0,-1.2246467991473532e-18,0.0,1.2246467991473532e-18,True,0.0,`gtol` termination condition is satisfied.
0.02,90,1.2246467991473532e-18,0.02,14,-0.005740360703919478,-7.43427689900082e-21,0.005740360703919478,-0.005773502691896259,0.0,3.314198797678067e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,2,0.01917457694897773,0.00464815806597807,0.019729920795040844,0.019518713753882186,0.004829629131445342,0.0003890525518380204,True,1.3322676295501878e-15,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,3,0.005148143693438634,-0.001280798997774557,0.005305075829900294,0.005230023587646972,-0.0012940952255126028,8.295243665879062e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,4,0.016594324884761313,0.009475327219556018,0.01910898857340879,0.01673032607475616,0.009659258262890689,0.00022875085219993153,True,0.0,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,5,0.009819262555148978,-2.385738815213756e-05,0.00981929153767828,0.009899494936611663,0.0,8.370430099233643e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,6,0.004446561475595967,-0.0025748449894540393,0.005138261931428832,0.004482877360840265,-0.002588190451025208,3.8690371743168614e-05,True,1.1102230246251565e-13,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,7,0.013896628679903378,0.014304025411138288,0.019942954435830287,0.013941938395630134,0.014488887394336025,0.0001903337152767203,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,8,0.011321377089858808,0.0021532407356044114,0.011524323185169971,0.011383058853105775,0.0021906706976806568,7.215013498451683e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,9,0.007667072566939215,-0.001487267482662813,0.007809991441205174,0.007708824238931007,-0.0014835639164941094,4.191561184661628e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,10,0.0037132861786020044,-0.0038689219293593924,0.005362560129236285,0.003735731134033554,-0.0038822856765378107,2.6122131669772638e-05,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,12,0.01815051934343992,3.2154072668408174e-19,0.01815051934343992,0.01822461852836958,0.0,7.409918492965947e-05,True,0.0,`gtol` termination condition is satisfied.
0.02,135,-0.014142135623730949,0.014142135623730952,13,0.014084635340734675,-2.2147557923292024e-16,0.014084635340734675,0.014142135623730949,0.0,5.7500282996274243e-05,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
