amplitude_d,direction_deg,gain,rho,seed,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.005,0,1.0,0.0,ideal,2,10,1.289761429791365,3.141581805640407,1.8518203758490417,1.289761425292083,3.141592653589793,1.8518312282977105,1.085244866882995e-05,2,3,3.5000031230859454,0.8660362664500952,2.220446049250313e-16,True,3,-3.123085945411219e-06,-1.0862665656863335e-05,True,observe_and_move,
0.005,0,1.0,0.0,ideal,2,12,1.8518312282977865,1.2897614252920067,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,7.638334409421077e-14,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,2,13,1.5707963267948966,1.5707963267948966,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,0.0,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,2,14,1.2897614252920075,1.8518312282977856,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,7.549516567451064e-14,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,3,2,3.1415926370706706,1.8518312418235658,1.28976142828535,3.141592653589793,1.85183122829771,1.289761425292083,1.6519122514324636e-08,3,3,1.5000000110737786,2.598076205754979,0.0,True,2,-1.1073778560799497e-08,5.598336905165979e-09,True,observe_and_move,
0.005,0,1.0,0.0,ideal,3,3,1.8518312147605775,3.1415926370318292,1.2897614222712517,1.85183122829771,3.141592653589793,1.289761425292083,1.6557963888885752e-08,3,3,2.5000000110613008,2.598076217031527,0.0,True,2,-1.1061300764225734e-08,-5.6782107904496115e-09,True,observe_and_move,
0.005,0,1.0,0.0,ideal,3,4,3.1415926468492787,1.5707963335522732,1.5707963267780347,3.141592653589793,1.5707963267948966,1.5707963267948968,6.757376658228509e-09,3,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,3,5,2.284520703142715,2.2845207083388614,1.7141438956980102,2.2845207057396624,2.2845207057396624,1.7141438957002622,2.599199078190395e-09,3,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,3,6,1.5707963200206054,3.1415926467985344,1.570796326777929,1.5707963267948966,3.141592653589793,1.5707963267948968,6.791258666538624e-09,3,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,3,7,3.1415926311883497,1.2897614297858597,1.8518312014024898,3.141592653589793,1.289761425292083,1.8518312282977105,2.6895220717193524e-08,3,3,0.5000000019653305,0.8660254407906566,4.440892098500626e-16,True,2,-1.965330453934655e-09,-3.700621820090788e-08,True,observe_and_move,
0.005,0,1.0,0.0,ideal,3,8,2.284520708004074,1.7141438953731223,2.28452070380239,2.2845207057396624,1.714143895700262,2.2845207057396624,2.264411769203889e-09,3,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,3,9,1.7141438960226272,2.284520703457421,2.2845207076995386,1.714143895700262,2.2845207057396624,2.2845207057396624,2.282241506890159e-09,3,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,3,10,1.2897614207644754,3.1415926308838773,1.851831255531234,1.289761425292083,3.141592653589793,1.8518312282977105,2.7233523436365203e-08,3,3,3.500000001940917,0.8660253663637978,4.440892098500626e-16,True,2,-1.94091720473466e-09,3.742064058620542e-08,True,observe_and_move,
0.005,0,1.0,0.0,ideal,4,2,3.141592653587416,1.851831228286563,1.289761425300853,3.141592653589793,1.85183122829771,1.289761425292083,1.1147083256446422e-11,4,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,4,3,1.8518312282863045,3.1415926535871583,1.289761425300854,1.85183122829771,3.141592653589793,1.289761425292083,1.1405543176579158e-11,4,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,4,7,3.1415926535676406,1.2897614253032779,1.851831228264363,3.141592653589793,1.289761425292083,1.8518312282977105,3.33475469460609e-11,4,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,1.0,0.0,ideal,4,10,1.2897614253034422,3.141592653566833,1.8518312282633906,1.289761425292083,3.141592653589793,1.8518312282977105,3.4319880271027614e-11,4,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.005,0,0.5,0.0,ideal,1,2,3.137273351753643,1.84751192646156,1.289761425292083,3.141592653589793,1.85183122829771,1.289761425292083,0.004319301836150036,1,3,1.4956234423913604,2.596988261867569,2.220446049250313e-16,True,4,0.002188278804319821,0.0005439747428734876,True,observe_and_move,
0.005,0,0.5,0.0,ideal,1,3,1.8561721804983218,3.137251701389182,1.289761425292083,1.85183122829771,3.141592653589793,1.289761425292083,0.004340952200611703,1,3,2.495626567374271,2.599153335525744,4.440892098500626e-16,True,4,0.0021867163128646006,-0.0005385620862139451,True,observe_and_move,
0.005,0,0.5,0.0,ideal,1,4,3.1394302964012786,1.568633969606382,1.5707963267948968,3.141592653589793,1.5707963267948966,1.5707963267948968,0.002162357188514541,1,3,0.9962500058666354,1.7298803280219541,4.75175454539567e-14,True,3,0.0018749970666823157,0.0010852397734615327,True,observe_and_move,
0.005,0,0.5,0.0,ideal,1,5,2.2874074490668965,2.2816339624124278,1.7141438957002622,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.0028867433272345977,1,3,1.9965000026249982,1.732047776482237,0.0,True,4,0.00174999868750092,1.5155433200630952e-06,True,observe_and_move,
0.005,0,0.5,0.0,ideal,1,6,1.5729640966252703,3.1394248837594194,1.5707963267948968,1.5707963267948966,3.141592653589793,1.5707963267948968,0.0021677698303737003,1,3,2.9962500058519868,1.73421046180671,4.75175454539567e-14,True,3,0.0018749970740066235,-0.00107982711891641,True,observe_and_move,
0.005,0,0.5,0.0,ideal,1,7,3.1401504807282117,1.2883192524305014,1.8518312282977105,3.141592653589793,1.289761425292083,1.8518312282977105,0.0014421728615816587,1,3,0.4968765693420383,0.862772394176371,4.440892098500626e-16,True,4,0.0015617153289808616,0.0016265048040337016,True,observe_and_move,
