condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,joint_success_1cm,final_below_10cm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,max_position_error_m,rms_position_error_m,last28_mean_max_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds
bearing_0.001deg,17,0.001,0.0,max_epochs_reached,False,True,False,True,85,340,545,0.006874601245200298,0.003844915225928829,0.009500204094810163,560,2240,266.72519933081617,0,13.785966958006611
bearing_0.001deg,18,0.001,0.0,max_epochs_reached,False,True,False,True,92,368,540,0.009937041051684201,0.004463146276537382,0.00742152890560237,560,2240,237.5422388682292,0,12.496444000003976
bearing_0.001deg,19,0.001,0.0,max_epochs_reached,False,True,False,True,97,388,530,0.006957238334643386,0.004080508226778398,0.00567680376131813,560,2240,542.3681550727392,0,13.525661917003163
bearing_0.001deg,20,0.001,0.0,max_epochs_reached,False,True,False,True,80,320,524,0.009792258109389012,0.004669180967570997,0.00623572602603626,560,2240,363.45744343580395,0,13.546172583999578
bearing_0.001deg,21,0.001,0.0,max_epochs_reached,False,False,False,True,122,488,,0.01023485233763352,0.005812310071111073,0.008106826880709872,560,2240,646.3158307823711,0,13.748415875001228
bearing_0.001deg,22,0.001,0.0,max_epochs_reached,False,True,False,True,58,232,546,0.004351788849317273,0.0028011656865445968,0.005896190285926396,560,2240,85.08930987424289,0,13.268578625000373
bearing_0.001deg,23,0.001,0.0,max_epochs_reached,False,False,False,True,124,496,,0.013615610079148688,0.007031450292432511,0.010899293111031381,560,2240,744.5979587573132,0,11.677774541996769
bearing_0.001deg,24,0.001,0.0,max_epochs_reached,False,True,False,True,87,348,546,0.004170925046592801,0.0023981655057620705,0.007934326331396969,560,2240,347.3152491399429,0,11.159938625001814
bearing_0.001deg,25,0.001,0.0,max_epochs_reached,False,True,False,True,99,396,546,0.007560109573970835,0.004414039099834918,0.007607881436689018,560,2240,277.7122922285463,0,11.031825208003283
bearing_0.001deg,26,0.001,0.0,max_epochs_reached,False,True,False,True,82,328,558,0.004414838767486608,0.002517996524733648,0.005827148825297514,560,2240,145.4680137847553,0,12.181207083995105
bearing_0.001deg,27,0.001,0.0,max_epochs_reached,False,True,False,True,99,396,543,0.007819735496597143,0.0037663705534201008,0.008134925787668794,560,2240,578.9815353006707,0,13.92274075000023
bearing_0.001deg,28,0.001,0.0,max_epochs_reached,False,True,False,True,82,328,534,0.008336835713866475,0.00455248870656558,0.005842456378896716,560,2240,278.6769266217062,0,13.704926209000405
bearing_0.001deg,29,0.001,0.0,max_epochs_reached,False,True,False,True,79,316,542,0.0068943212306554775,0.0043073079631567365,0.006450397994339535,560,2240,328.0161162957638,0,13.638841917003447
bearing_0.001deg,30,0.001,0.0,max_epochs_reached,False,False,False,True,80,320,,0.011625891307703992,0.005571922842477171,0.006694091963507126,560,2240,415.44479329768666,0,12.396258499997202
bearing_0.001deg,31,0.001,0.0,max_epochs_reached,False,True,False,True,103,412,512,0.007938073964135216,0.0037127362563677217,0.006736930393435156,560,2240,292.68523285954535,0,10.14561537499685
bearing_0.001deg,32,0.001,0.0,max_epochs_reached,False,True,False,True,108,432,554,0.006473799612161711,0.004007436885778047,0.009575264552833503,560,2240,556.2955845495841,0,10.25653725000302
bearing_0.001deg,33,0.001,0.0,max_epochs_reached,False,False,False,True,127,508,,0.013131827271851615,0.00576317197971429,0.00558493154698648,560,2240,752.1406829106644,0,10.291456374994596
bearing_0.001deg,34,0.001,0.0,max_epochs_reached,False,True,False,True,88,352,546,0.005358762768255151,0.0023411017374121105,0.007384349279479435,560,2240,242.38529626389982,0,9.952196083002491
bearing_0.001deg,35,0.001,0.0,max_epochs_reached,False,True,False,True,94,376,547,0.007241849680826481,0.0038444251105082526,0.006247958452859266,560,2240,239.626265387587,0,11.106014124998183
bearing_0.001deg,36,0.001,0.0,max_epochs_reached,False,False,False,True,71,284,,0.014343916585712864,0.008820410106044362,0.006428978868202267,560,2240,402.2983502993776,0,11.617932208995626
bearing_0.001deg,37,0.001,0.0,max_epochs_reached,False,True,False,True,121,484,546,0.00813596438445197,0.004801393049988415,0.006587536819470698,560,2240,746.4161265117342,0,12.017892000003485
bearing_0.001deg,38,0.001,0.0,max_epochs_reached,False,True,False,True,107,428,540,0.006769175153087647,0.003920768282479442,0.007337205210829446,560,2240,733.6820844967053,0,14.032745541997429
bearing_0.001deg,39,0.001,0.0,max_epochs_reached,False,False,False,True,113,452,,0.011938217094993786,0.005197477672978018,0.008275243817537293,560,2240,610.1876225664523,0,14.280331583999214
bearing_0.001deg,40,0.001,0.0,max_epochs_reached,False,False,False,True,122,488,,0.011505428703998137,0.007275599306245873,0.0065750859090267936,560,2240,562.326207533431,0,13.721572957998433
