slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
38,0-1-7-8,4,152,152,0.002860300154094844,64.89813999329715,0.0016369011932653506,0.0010300816290619047,0.001371929276970718,0.000881312814064287,0.000881312814044577,0.0015381810345438396
39,0-1-4-5,4,156,156,0.002616892690151554,64.9007568859873,0.001230812256405638,0.0007710114992795708,0.0012121132088225295,0.0004403406213859289,0.0004407565475830211,0.0007685393673462215
40,0-1-7-8,4,160,160,0.0017267663086253976,64.90248365229593,0.0010635621058342607,0.0006221364211403786,0.0007612184968905922,0.0005726256947186237,0.0005726256947227171,0.0009994203754359887
41,0-1-4-5,4,164,164,0.001513835485543532,64.90399748778147,0.0006924024815566591,0.0004547945395324257,0.0006817837067529808,0.00028615538578125266,0.00028615538580112343,0.0004994353654197425
42,0-1-7-8,4,168,168,0.001006422385660318,64.90500391016712,0.0006738702028859205,0.0003726253178013737,0.0004181525438156086,0.00036281434225532677,0.0003628143422460539,0.0006332304845813042
43,0-1-4-5,4,172,172,0.0008794654573416234,64.90588337562447,0.000388697638607586,0.00026494199073072964,0.00038274266097459986,0.0001813286092896985,0.0001813286092797739,0.0003164781260167615
44,0-1-7-8,4,176,176,0.0005736005803723244,64.90645697620484,0.0004178342771116764,0.00022116184959913735,0.00023784839508778077,0.00022496366712352502,0.00022496366710100801,0.0003926356688666033
45,0-1-4-5,4,180,180,0.0005103004490878121,64.90696727665393,0.00022265090570782367,0.00015285338994458058,0.0002124108886647491,0.00011244261518520732,0.00011244261520459986,0.00019624938545348414
46,0-1-7-8,4,184,184,0.0003218058068474883,64.90728908246078,0.0002543295580444761,0.00013007133471211064,0.00014295784453111082,0.00013693208778602916,0.00013693208776288657,0.00023899157834961215
47,0-1-4-5,4,188,188,0.00029493474356159083,64.90758401720434,0.0001318853416995885,8.748187204340519e-05,0.00011678233703094065,6.844645686684201e-05,6.844645687920092e-05,0.0001194616033650675
48,0-1-7-8,4,192,192,0.00017840533589746034,64.90776242254024,0.00015236804134917167,7.58244970997923e-05,8.469456356863247e-05,8.203559129089148e-05,8.203559130492977e-05,0.00014317911718464416
49,0-1-4-5,4,196,196,0.0001695791730606983,64.9079320017133,7.716022459488544e-05,4.9722304826855004e-05,6.370817109768723e-05,4.1008009791135124e-05,4.100800979500718e-05,7.157247905453801e-05
50,0-1-7-8,4,200,200,9.797715689896549e-05,64.9080299788702,9.004152518952537e-05,4.383233265985415e-05,4.955777761495028e-05,4.847873580466868e-05,4.8478735799051265e-05,8.46113556995931e-05
51,0-1-4-5,4,204,204,9.695059081824796e-05,64.90812692946102,4.501171765662594e-05,2.808706449022797e-05,3.452690096139577e-05,2.4234503460226758e-05,2.4234503463560486e-05,4.229718779669156e-05
52,0-1-7-8,4,208,208,5.339335532941081e-05,64.90818032281635,5.258098685566048e-05,2.5140549120934792e-05,2.8687077801237137e-05,2.830982669511994e-05,2.8309826696215623e-05,4.9409968649882785e-05
53,0-1-4-5,4,212,212,5.510867811385261e-05,64.90823543149446,2.628596994802226e-05,1.577738763289084e-05,1.860699011047018e-05,1.4152479714339901e-05,1.4152479721474265e-05,2.470073683369378e-05
54,0-1-7-8,4,216,216,2.8909302624788246e-05,64.90826434079709,3.038805001746708e-05,1.4315291748148016e-05,1.644991152716102e-05,1.6361055307593044e-05,1.636105530877785e-05,2.8555428421839224e-05
55,0-1-4-5,4,220,220,3.114825365733316e-05,64.90829548905074,1.5191762817260901e-05,8.81741922752778e-06,9.978832295587381e-06,8.179310290131082e-06,8.179310292177888e-06,1.4275589510504005e-05
56,0-1-7-8,4,224,224,1.5566441750801608e-05,64.90831105549249,1.740238249697949e-05,8.096880767522966e-06,9.354685317930489e-06,9.369516547700775e-06,9.369516568824565e-06,1.6352891307747086e-05
57,0-1-4-5,4,228,228,1.751026874371123e-05,64.90832856576124,8.700059973978925e-06,4.904537692747409e-06,5.328868965648326e-06,4.684149388462168e-06,4.684149388367587e-06,8.175382948394372e-06
58,0-1-7-8,4,232,232,8.341947163592324e-06,64.9083369077084,9.885585757590867e-06,4.551575736764038e-06,5.2806812647077095e-06,5.322441218377732e-06,5.3224412113195285e-06,9.289412350454995e-06
59,0-1-4-5,4,236,236,9.793125605804382e-06,64.908346700834,4.942227208265186e-06,2.7161586844484065e-06,2.961347988161833e-06,2.6609161156058817e-06,2.6609161025703543e-06,4.644174733670071e-06
60,0-1-7-8,4,240,240,4.451775737299618e-06,64.90835115260974,5.5753105779279216e-06,2.5441924054419433e-06,2.961347988161833e-06,3.0017707665975867e-06,3.0017707643992253e-06,5.239078326724211e-06
61,0-1-4-5,4,244,244,5.289673675156227e-06,64.90835644228342,2.7873724425647143e-06,1.50042737669924e-06,1.6508972464635008e-06,1.5007331237850825e-06,1.500733105785912e-06,2.619273420378932e-06
62,0-1-7-8,4,248,248,2.3428708276304833e-06,64.90835878515425,3.1241804694721966e-06,1.4169644695320188e-06,1.6508972464635008e-06,1.6820719146155383e-06,1.6820719324073252e-06,2.9357693165366072e-06
63,0-1-4-5,4,252,252,2.896232435523122e-06,64.90836168138668,1.5619488872821338e-06,8.324560021854981e-07,9.154453692872266e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
64,0-1-7-8,4,256,256,3.92188999000058e-07,64.90836207357567,1.5619488872821338e-06,8.004324919722249e-07,9.154453692872266e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
65,0-1-4-5,4,260,260,6.93157843921898e-07,64.90836276673352,1.5619488872821338e-06,6.948685098847499e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
66,0-1-7-8,4,264,264,2.0719542404046017e-07,64.90836297392894,1.5619488872821338e-06,6.843091396373944e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
67,0-1-4-5,4,268,268,3.817150496182958e-07,64.908363355644,1.5619488872821338e-06,6.48137112639242e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
68,0-1-7-8,4,272,272,1.0917648518052418e-07,64.90836346482048,1.5619488872821338e-06,6.450163543600105e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
69,0-1-4-5,4,276,276,2.0938048387421738e-07,64.90836367420097,1.5619488872821338e-06,6.336093381993763e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
