phase_a,phase_b,tx_a,tx_b,rho_cycle,rho_per_slot,cycle_norm_2,two_cycle_norm_2
3,10,0-1-2-5,0-1-3-6,0.7562421410129929,0.8696218379347387,1.4167492105516382,1.5349995086623767
22,24,0-1-5-9,0-1-6-8,0.7663382200669608,0.875407459453574,1.310576433835519,1.3632717935026866
4,9,0-1-2-6,0-1-3-5,0.7663382200669605,0.8754074594535738,1.3105764338355197,1.3632717935026872
8,28,0-1-3-4,0-1-8-9,0.776969941773142,0.88145898473675,1.4980155382962752,1.7313052197925807
2,28,0-1-2-4,0-1-8-9,0.776969941773142,0.88145898473675,1.5248817564245227,1.7508413074604634
1,26,0-1-2-3,0-1-7-8,0.7769699417731408,0.8814589847367493,1.8118138553714218,1.9619114157460489
1,27,0-1-2-3,0-1-7-9,0.776969941773142,0.88145898473675,1.861392122599561,1.9998771953644259
4,11,0-1-2-6,0-1-3-7,0.7811814441853072,0.8838446946072072,1.297321301624531,1.305285593804724
17,22,0-1-4-8,0-1-5-9,0.7811814441853071,0.883844694607207,1.3191600472204281,1.3723106290307683
3,8,0-1-2-5,0-1-3-4,0.785867067892527,0.8864914370102663,1.3672243487636486,1.3825764023799512
25,26,0-1-6-9,0-1-7-8,0.7858670678925268,0.8864914370102662,1.3672243487636484,1.3825764023799516
22,23,0-1-5-9,0-1-6-7,0.7924476488926431,0.8901952869413784,1.25631425305197,1.2907254876806793
4,14,0-1-2-6,0-1-4-5,0.7924476488926441,0.890195286941379,1.2563142530519704,1.2907254876806795
16,25,0-1-4-7,0-1-6-9,0.7947597504904418,0.8914929895913045,1.3947439531082386,1.4502047936543805
3,16,0-1-2-5,0-1-4-7,0.7947597504904405,0.8914929895913037,1.387600665886749,1.4513100043841094
9,17,0-1-3-5,0-1-4-8,0.7988945395859642,0.8938090062121573,1.4017091353599191,1.3619078444638142
11,24,0-1-3-7,0-1-6-8,0.7988945395859646,0.8938090062121575,1.4473019437890562,1.5541809864023945
3,28,0-1-2-5,0-1-8-9,0.8109165947830569,0.9005090753474153,1.5544439138211021,1.7536162557460129
1,25,0-1-2-3,0-1-6-9,0.8109165947830598,0.9005090753474169,1.9337951878136002,2.2585807760232552
15,21,0-1-4-6,0-1-5-8,0.8232561247408552,0.9073346266625424,1.5482439527842242,1.4295425412446008
10,20,0-1-3-6,0-1-5-7,0.8232561247408544,0.9073346266625419,1.400515060171509,1.4914212239667768
18,24,0-1-4-9,0-1-6-8,0.8360195808315517,0.9143410637347268,1.36138093086706,1.2441529021567361
5,9,0-1-2-7,0-1-3-5,0.8360195808315518,0.9143410637347268,1.3613809308670597,1.2441529021567364
16,22,0-1-4-7,0-1-5-9,0.8390221958267463,0.9159815477545092,1.2885018155305734,1.3573348271978092
4,16,0-1-2-6,0-1-4-7,0.8390221958267469,0.9159815477545096,1.351899184110657,1.405151389943895
9,16,0-1-3-5,0-1-4-7,0.8460578177669743,0.9198140125954672,1.4295925471548634,1.393029843881597
16,24,0-1-4-7,0-1-6-8,0.8460578177669731,0.9198140125954666,1.4651948336032994,1.5605702822266558
10,16,0-1-3-6,0-1-4-7,0.846994460151631,0.9203230194619881,1.367890595366466,1.3783700211798813
16,21,0-1-4-7,0-1-5-8,0.8469944601516288,0.9203230194619869,1.4311807564777446,1.4395256941925496
20,25,0-1-5-7,0-1-6-9,0.8492851232435878,0.9215666678236512,1.6060997998643722,1.4256366046031088
3,15,0-1-2-5,0-1-4-6,0.8492851232435884,0.9215666678236515,1.3845644057767847,1.5456660014600838
5,12,0-1-2-7,0-1-3-8,0.8497385946938263,0.9218126678961547,1.3013570648863526,1.4203018073211413
12,18,0-1-3-8,0-1-4-9,0.8497385946938257,0.9218126678961543,1.377506298887219,1.483039317581631
6,19,0-1-2-8,0-1-5-6,0.8548966174976468,0.9246061959005286,1.5861211346803763,1.3987472076735097
