section,method,slot,max_position_error_m,transmitter_uses,cumulative_endpoint_m,event
trajectory,main,194,5.180445604679123e-05,776,254.23378872280998,
trajectory,main,195,5.180445604679123e-05,780,254.23378872280998,
trajectory,main,196,5.180445604679123e-05,784,254.23378872280998,
trajectory,two_configuration,0,12.01113974324003,0,0.0,
trajectory,two_configuration,1,8.435184344741195,4,21.89157292075799,
trajectory,two_configuration,2,4.538286417483351,8,37.16500008768929,
trajectory,two_configuration,3,3.9780219450044587,12,45.13604289481607,
trajectory,two_configuration,4,2.198586215529462,16,51.240245953395736,
trajectory,two_configuration,5,2.1846037952321598,20,53.94711933211653,
trajectory,two_configuration,6,1.1887103020262662,24,56.997420611925435,
trajectory,two_configuration,7,1.2404230653466353,28,58.164087194180176,
trajectory,two_configuration,8,0.6484108908462245,32,59.987623025904895,
trajectory,two_configuration,9,0.6969649593109098,36,60.57514757713046,
trajectory,two_configuration,10,0.3657491027297963,40,61.73449982238916,
trajectory,two_configuration,11,0.38292262793844967,44,62.05991826501682,
trajectory,two_configuration,12,0.21213248134768453,48,62.789895379319375,
trajectory,two_configuration,13,0.20490121198411906,52,62.985383379927214,
trajectory,two_configuration,14,0.15641226236689873,56,63.439381505858385,
trajectory,two_configuration,15,0.13500064002606738,60,63.5776799927872,
trajectory,two_configuration,16,0.11676318821644964,64,63.859088334506026,
trajectory,two_configuration,17,0.09814809964082236,68,63.97490174183382,
trajectory,two_configuration,18,0.08807014719689836,72,64.15004560681592,
trajectory,two_configuration,19,0.07100390826983455,76,64.24495918126321,
trajectory,two_configuration,20,0.06538318422895799,80,64.35500172242618,
trajectory,two_configuration,21,0.05117760269186439,84,64.42963910561805,
trajectory,two_configuration,22,0.04799192272737565,88,64.49968192492356,
trajectory,two_configuration,23,0.03679073517555221,92,64.55665683038018,
trajectory,two_configuration,24,0.03494481036271924,96,64.60190808904069,
trajectory,two_configuration,25,0.026399887725097194,100,64.64453085579291,
trajectory,two_configuration,26,0.025301578027508514,104,64.67421957142056,
trajectory,two_configuration,27,0.018919704902236077,108,64.70566851479464,
trajectory,two_configuration,28,0.018247213945235624,112,64.72543848068779,
trajectory,two_configuration,29,0.013547047383342845,116,64.74842287663286,
trajectory,two_configuration,30,0.013123357257423472,120,64.76176756759699,
trajectory,two_configuration,31,0.009694157428257813,124,64.78127542635883,
trajectory,two_configuration,32,0.007312302811355678,128,64.7903898140288,
trajectory,two_configuration,33,0.006165860645239333,132,64.80207855593828,
trajectory,two_configuration,34,0.004322503204963013,136,64.80803968955075,
trajectory,two_configuration,35,0.003708542511645487,140,64.8163854381327,
trajectory,two_configuration,36,0.0024775337635398772,144,64.82082929122691,
trajectory,two_configuration,37,0.002159446953964712,148,64.8254213406771,
trajectory,two_configuration,38,0.0016369011941944685,152,64.82828164084641,
trajectory,two_configuration,39,0.0012308122644679059,156,64.83089853354505,
trajectory,two_configuration,40,0.0010635621060935403,160,64.83262529985747,
trajectory,two_configuration,41,0.0006924024815566591,164,64.83413913534511,
trajectory,two_configuration,42,0.0006738702029577194,168,64.83514555773165,
trajectory,two_configuration,43,0.000388697638607586,172,64.83602502318953,
trajectory,two_configuration,44,0.0004178342771286743,176,64.83659862377016,
trajectory,two_configuration,45,0.00022265090570782367,180,64.83710892421924,
trajectory,two_configuration,46,0.0002543295581325287,184,64.83743073002606,
trajectory,two_configuration,47,0.0001318853416995885,188,64.83772566476965,
trajectory,two_configuration,48,0.00015236804140740886,192,64.83790407010565,
trajectory,two_configuration,49,7.716022459488544e-05,196,64.83807364927881,
trajectory,two_configuration,50,9.004152513128819e-05,200,64.83817162643581,
trajectory,two_configuration,51,4.501171761589723e-05,204,64.83826857702653,
trajectory,two_configuration,52,5.258098684144961e-05,208,64.83832197038187,
trajectory,two_configuration,53,2.6285969965530733e-05,212,64.83837707905995,
trajectory,two_configuration,54,3.0388050022668605e-05,216,64.83840598836261,
trajectory,two_configuration,55,1.5191762822462426e-05,220,64.83843713661625,
