section,method,slot,max_radial_error_m,max_angular_error_deg,gain,input_component,output_component,operator_norm,period_slots,input_drone,input_amplitude_m,largest_cross_output_drone,largest_cross_output_component,signed_cross_output_m,linear_predicted_cross_output_m,center_difference_max_error,selection_changes
trajectory,main,164,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,165,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,166,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,167,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,168,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,169,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,170,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,171,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,172,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,173,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,174,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,175,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,176,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,177,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,178,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,179,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,180,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,181,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,182,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,183,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,184,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,185,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,186,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,187,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,188,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,189,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,190,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,191,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,192,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,193,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,194,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,195,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,main,196,2.4791094546117165e-05,2.807128644256536e-05,,,,,,,,,,,,,
trajectory,two_configuration,0,12.000000000000014,0.2799999999999826,,,,,,,,,,,,,
trajectory,two_configuration,1,8.094102993510575,1.308540359037142,,,,,,,,,,,,,
trajectory,two_configuration,2,4.508540821172062,0.8579954012483292,,,,,,,,,,,,,
trajectory,two_configuration,3,3.3290281280995657,1.2274705656138614,,,,,,,,,,,,,
trajectory,two_configuration,4,1.8586959151995188,0.7125743020938737,,,,,,,,,,,,,
trajectory,two_configuration,5,1.8586959151995188,0.8407829280643674,,,,,,,,,,,,,
trajectory,two_configuration,6,1.079634159559106,0.46410937450966244,,,,,,,,,,,,,
trajectory,two_configuration,7,1.079634159559106,0.528827388722086,,,,,,,,,,,,,
trajectory,two_configuration,8,0.6147195134917638,0.27095305766957406,,,,,,,,,,,,,
trajectory,two_configuration,9,0.6147195134917638,0.30971680972006604,,,,,,,,,,,,,
trajectory,two_configuration,10,0.34472093873725385,0.14764645028664297,,,,,,,,,,,,,
trajectory,two_configuration,11,0.34472093873725385,0.1699811313929283,,,,,,,,,,,,,
trajectory,two_configuration,12,0.20902645532548547,0.07570745762125283,,,,,,,,,,,,,
trajectory,two_configuration,13,0.19100023750118567,0.08952042954706932,,,,,,,,,,,,,
trajectory,two_configuration,14,0.15406337003778958,0.03612264460152295,,,,,,,,,,,,,
trajectory,two_configuration,15,0.1329624570055472,0.046576863988463155,,,,,,,,,,,,,
trajectory,two_configuration,16,0.11309880054614041,0.028712262850396693,,,,,,,,,,,,,
trajectory,two_configuration,17,0.0966594227198243,0.023296054699437456,,,,,,,,,,,,,
trajectory,two_configuration,18,0.08251082692669343,0.0228798438137861,,,,,,,,,,,,,
trajectory,two_configuration,19,0.06992539391440289,0.017561958973009724,,,,,,,,,,,,,
trajectory,two_configuration,20,0.059862108769806355,0.017561958973009724,,,,,,,,,,,,,
