a,b,rank,rank_tolerance,sigma_min_rad_per_m,sigma_max_rad_per_m,condition_number
3-6,4-8,16,6.030483507028248e-11,0.004013176502065207,0.06030483507028248,15.026708902349352
3-6,4-9,16,6.0558687041593e-11,0.004717439256437705,0.060558687041593,12.83719487409423
3-6,5-7,16,6.73944058713062e-11,0.00416028530552309,0.0673944058713062,16.19946732543441
3-6,5-8,16,6.077127411130328e-11,0.004588837316864493,0.06077127411130328,13.243283628286846
3-6,5-9,16,5.982917331240267e-11,0.004573723692181536,0.05982917331240266,13.081064213537099
3-6,7-8,16,5.41999408105683e-11,0.003231183387946541,0.054199940810568295,16.77402186850591
3-6,7-9,16,5.798725566939971e-11,0.004298396970415923,0.057987255669399704,13.490437497630358
3-6,8-9,16,5.0870795886817305e-11,0.00461944892968743,0.050870795886817304,11.012308320996942
3-7,4-5,16,5.7857185598562417e-11,0.004029319201202445,0.05785718559856241,14.359047449330012
3-7,4-6,16,6.052169982964202e-11,0.0036813836683937764,0.06052169982964202,16.439932721287978
3-7,4-8,16,6.078299543247011e-11,0.00297661608975721,0.06078299543247011,20.420166255779368
3-7,4-9,16,5.976717338881335e-11,0.004164785560639448,0.05976717338881334,14.35060041353891
3-7,5-6,16,5.557688464187993e-11,0.004053025522063296,0.055576884641879924,13.712443787816833
3-7,5-8,16,6.030483507028245e-11,0.0040131765020652065,0.060304835070282455,15.026708902349348
3-7,5-9,16,5.310471410260847e-11,0.00486803470939466,0.05310471410260847,10.908861023550928
3-7,6-8,16,6.733817312360612e-11,0.0035905969888677123,0.06733817312360613,18.754032639246738
3-7,6-9,16,5.999299291918865e-11,0.004813701333195219,0.059992992919188644,12.462965349652622
3-7,8-9,16,5.4182163108074884e-11,0.0038457540312046724,0.05418216310807488,14.088826968245408
3-8,4-5,16,5.7836237218049866e-11,0.0033564483949327724,0.05783623721804986,17.231379843457503
3-8,4-6,16,5.900407867304219e-11,0.0035824791655371885,0.059004078673042186,16.470180550008752
3-8,4-7,16,6.006112689789155e-11,0.0025045746574967847,0.06006112689789155,23.980569602153558
3-8,4-9,16,6.047491701972287e-11,0.003337513378930233,0.060474917019722865,18.119752688184512
3-8,5-6,16,5.3980436457471757e-11,0.0042002264165147095,0.053980436457471755,12.851792047502045
3-8,5-7,16,5.900407867304218e-11,0.0035824791655371946,0.05900407867304218,16.47018055000872
3-8,5-9,16,5.973873712320668e-11,0.004066135413478447,0.05973873712320668,14.691772665805571
3-8,6-7,16,5.783623721804983e-11,0.0033564483949327702,0.05783623721804983,17.231379843457503
3-8,6-9,16,6.087436109607382e-11,0.004698283210943777,0.06087436109607382,12.95672448060992
3-8,7-9,16,6.799117936329207e-11,0.004011227853956278,0.06799117936329206,16.950216202809894
3-9,4-5,16,5.808393674649897e-11,0.003469995064471199,0.05808393674649897,16.73891047892615
3-9,4-6,16,5.890440334873641e-11,0.004195685160536527,0.05890440334873641,14.039281093532756
3-9,4-7,16,5.887515075577506e-11,0.0035150739216723275,0.05887515075577506,16.749335026150657
3-9,4-8,16,5.970167599138572e-11,0.002819691373231964,0.059701675991385726,21.17312432067874
3-9,5-6,16,5.41105299836173e-11,0.0042287405175376715,0.054110529983617296,12.795897444926462
3-9,5-7,16,5.382438300889022e-11,0.004079646876193341,0.05382438300889022,13.193392624979582
3-9,5-8,16,5.816692461317616e-11,0.0034206155683900482,0.05816692461317616,17.004811984923837
3-9,6-7,16,5.2920147063198425e-11,0.004352541670663602,0.05292014706319842,12.158446964421607
3-9,6-8,16,5.838389680664306e-11,0.004139413708530193,0.05838389680664305,14.10438794419845
3-9,7-8,16,5.636392738999309e-11,0.003521245925990989,0.05636392738999309,16.0068136604604
4-5,6-7,16,4.905528977119428e-11,0.004224528618168979,0.04905528977119428,11.612015021087991
4-5,6-8,16,5.594580168064958e-11,0.0038293509292894375,0.055945801680649575,14.609734838543696
4-5,6-9,16,5.43445002931261e-11,0.0031000514240400513,0.0543445002931261,17.530193167667914
4-5,7-8,16,5.015980647177229e-11,0.0038643037235236636,0.05015980647177229,12.980296079324244
4-5,7-9,16,5.308421008414289e-11,0.003834905367642883,0.05308421008414289,13.842378101958483
4-5,8-9,16,4.016552744287843e-11,0.0028945550550922776,0.04016552744287843,13.87623544151174
4-6,5-7,16,7.062690898749986e-11,0.004559049880404445,0.07062690898749986,15.491585053953035
4-6,5-8,16,6.739440587130618e-11,0.004160285305523087,0.06739440587130617,16.199467325434412
4-6,5-9,16,6.710500922378735e-11,0.0034864720541580626,0.06710500922378734,19.247252862318533
4-6,7-8,16,5.5142243080871715e-11,0.0038211711597374827,0.05514224308087171,14.430717907087947
4-6,7-9,16,5.8005787496793754e-11,0.00444891321421773,0.05800578749679375,13.038192633522328
4-6,8-9,16,5.182109769903164e-11,0.0038496822939086254,0.05182109769903164,13.461136203636457
4-7,5-6,16,5.779182385388042e-11,0.00460142201489066,0.05779182385388042,12.559557386142876
4-7,5-8,16,6.156432539217814e-11,0.003924459226805098,0.06156432539217814,15.687339792366158
4-7,5-9,16,5.951583093316738e-11,0.003978782845106401,0.05951583093316738,14.958300879970695
4-7,6-8,16,6.762071528381908e-11,0.004125973457688842,0.06762071528381908,16.38903303117629
4-7,6-9,16,6.090231069591795e-11,0.004610879883685378,0.06090231069591794,13.20839237461116
4-7,8-9,16,5.3978594537827464e-11,0.0032155245822314505,0.05397859453782746,16.786870433554075
4-8,5-6,16,5.55768846418799e-11,0.004053025522063295,0.055576884641879896,13.712443787816829
4-8,5-7,16,6.052169982964201e-11,0.0036813836683937773,0.06052169982964201,16.439932721287974
4-8,5-9,16,6.051771987116412e-11,0.0028955645135886605,0.06051771987116412,20.900145580303644
4-8,6-7,16,5.785718559856237e-11,0.004029319201202446,0.057857185598562365,14.359047449329998
4-8,6-9,16,6.065277473057682e-11,0.003974536118226475,0.06065277473057681,15.260340559602563
4-8,7-9,16,6.804914808455944e-11,0.003557186690174035,0.06804914808455943,19.1300468633065
4-9,5-6,16,5.495756297565224e-11,0.003258162718075907,0.05495756297565224,16.867654482311178
4-9,5-7,16,5.786791914215887e-11,0.0035359391970773363,0.057867919142158865,16.365643162074207
4-9,5-8,16,5.958132054019323e-11,0.002423970877111699,0.05958132054019324,24.580048012452945
4-9,6-7,16,4.859640839988924e-11,0.004201422609655162,0.04859640839988924,11.566655610461872
4-9,6-8,16,5.89169951547209e-11,0.0035292844914112434,0.05891699515472089,16.693750616619162
4-9,7-8,16,5.679373094499873e-11,0.0033165103477211366,0.056793730944998726,17.124545076128957
5-6,7-8,16,5.138370617451946e-11,0.004270097283488557,0.051383706174519456,12.033380685074304
5-6,7-9,16,5.66541982872373e-11,0.004032730662761485,0.05665419828723729,14.048594618625563
5-6,8-9,16,4.144954906316874e-11,0.003951029476196756,0.041449549063168736,10.490822534451931
5-7,6-8,16,7.074783625328937e-11,0.004514341364484349,0.07074783625328936,15.671795848201333
5-7,6-9,16,6.74266655309319e-11,0.004412171433207267,0.06742666553093189,15.281968652319236
5-7,8-9,16,5.496686109434077e-11,0.0038156773948304053,0.05496686109434077,14.405531549604149
5-8,6-7,16,5.887835986104594e-11,0.004510275697365258,0.058878359861045934,13.05427069468072
5-8,6-9,16,6.1942566687153e-11,0.0040187302964494204,0.06194256668715299,15.413466970371147
5-8,7-9,16,6.835070676735096e-11,0.0041375532952416996,0.06835070676735096,16.51959549281363
5-9,6-7,16,5.488564378377171e-11,0.004263515586512269,0.054885643783771705,12.873330159130582
5-9,6-8,16,6.086892523942341e-11,0.0037523063195309386,0.06086892523942341,16.221736728314973
5-9,7-8,16,5.7370809285854304e-11,0.0040582156239348174,0.0573708092858543,14.136954415997238
