configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual
10-13-15,36,6,30,24,24,24,1.1733371675800847e-16,7.09576576355423e-17,24,24,24,3.05689999165469e-17
10-14-15,36,6,30,24,24,24,5.777505812235226e-17,3.4100101875648107e-17,24,24,24,3.19163901335919e-17
11-12-13,36,6,30,20,20,20,2.519830293467104e-17,0.0,20,20,20,4.557194808140175e-17
11-12-14,36,6,30,20,20,20,2.7631868900029605e-17,7.34733863287393e-33,20,20,20,3.836805913908165e-17
11-12-15,36,6,30,20,20,20,3.6343546947719687e-17,2.0221681870339637e-33,20,20,20,4.9655918280658555e-17
11-13-14,36,6,30,20,20,20,3.115200525252183e-17,6.8724623439866e-33,20,20,20,4.4403035674116236e-17
11-13-15,36,6,30,20,20,20,4.617243819165909e-17,1.0973581707327025e-32,20,20,20,5.435672424053551e-17
11-14-15,36,6,30,20,20,20,3.1941472625622236e-17,5.237902515788824e-33,20,20,20,4.7945848379207854e-17
12-13-14,36,6,30,20,20,20,5.445013818891028e-17,9.726827795782494e-18,20,20,20,2.8591083335188237e-17
12-13-15,36,6,30,20,20,20,3.8985728714787423e-17,5.140368578122652e-30,20,20,20,4.0684717660789226e-17
12-14-15,36,6,30,20,20,20,3.524259771104447e-17,3.276811800274336e-30,20,20,20,3.7428258142572245e-17
13-14-15,36,6,30,20,20,20,2.8693302077333887e-17,2.708453772317289e-30,20,20,20,3.496087199672387e-17
