configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual,perturbation_level,perturbation_seed
2-10-12,36,0,36,24,24,24,3.27310343627367e-16,2.5153654475295373e-16,24,24,24,4.639624644354673e-17,0.013,20260906
2-10-13,36,0,36,24,24,24,2.7437557918421837e-16,2.035168098139712e-16,24,24,24,3.9054730974068165e-17,0.013,20260906
2-10-14,36,0,36,24,24,24,3.10644949262212e-16,2.360221001524332e-16,24,24,24,4.410349464795223e-17,0.013,20260906
2-10-15,36,0,36,24,24,24,2.646110352017753e-16,2.2009247737543296e-16,24,24,24,4.58189419193891e-17,0.013,20260906
2-11-12,36,0,36,24,24,24,3.2371995775192576e-16,2.1003689743597797e-16,24,24,24,4.7802861515699475e-17,0.013,20260906
2-11-13,36,0,36,24,24,24,2.967941652767563e-16,2.123506962959637e-16,24,24,24,3.990389302980827e-17,0.013,20260906
2-11-14,36,0,36,24,24,24,2.9773274705194244e-16,2.1283747509098375e-16,24,24,24,4.6200159390174935e-17,0.013,20260906
2-11-15,36,0,36,24,24,24,3.413664683458151e-16,2.6477019794335913e-16,24,24,24,4.552540678361657e-17,0.013,20260906
2-12-13,36,0,36,24,24,24,2.865253635967517e-16,2.0387454878957532e-16,24,24,24,4.32010914203106e-17,0.013,20260906
2-12-14,36,0,36,24,24,24,3.723889917661485e-16,2.6026583327461753e-16,24,24,24,4.9819921320073143e-17,0.013,20260906
2-12-15,36,0,36,24,24,24,3.510164765069317e-16,2.609831396196859e-16,24,24,24,4.958778174648317e-17,0.013,20260906
2-13-14,36,0,36,24,24,24,2.405999827802992e-16,1.9921498885704327e-16,24,24,24,4.529677029856031e-17,0.013,20260906
2-13-15,36,0,36,24,24,24,2.692717668290088e-16,2.244413095991221e-16,24,24,24,4.434450733444371e-17,0.013,20260906
2-14-15,36,0,36,24,24,24,2.932232069421994e-16,1.5988205643322835e-16,24,24,24,4.4772906218321175e-17,0.013,20260906
3-4-5,36,0,36,24,24,24,2.682220687657883e-16,1.6207547220231684e-16,24,24,24,3.507315045363629e-17,0.013,20260906
3-4-6,36,0,36,24,24,24,3.0773732746696126e-16,2.201887867252304e-16,24,24,24,4.11164193456827e-17,0.013,20260906
3-4-7,36,0,36,24,24,24,2.9641454773792483e-16,1.6366709083756472e-16,24,24,24,5.116773998714628e-17,0.013,20260906
3-4-8,36,0,36,24,24,24,4.233140169292914e-16,2.458149740360225e-16,24,24,24,3.889582151929363e-17,0.013,20260906
3-4-9,36,0,36,24,24,24,3.6308067849698243e-16,2.4572386607620124e-16,24,24,24,3.691532084073994e-17,0.013,20260906
3-4-10,36,0,36,24,24,24,3.3470773270235957e-16,2.229467824490925e-16,24,24,24,4.468750509351026e-17,0.013,20260906
