rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.05,11,0.5,21,1,-2.963851297721476e-08,-2.998377768292926e-08,2.000000029638513,3.464101645121532,21
0.05,11,0.5,22,1,-1.4819256266562775e-08,-1.4991889063509234e-08,2.000000014819257,3.464101630129643,22
0.05,23,0.5,1,1,-0.030594483826119845,0.011321272254039894,2.03059448382612,3.4527803428837145,1
0.05,23,0.5,2,1,-0.015297241913059922,0.005660636127019503,2.0152972419130597,3.458440979010734,2
0.05,23,0.5,3,1,-0.007648620956529628,0.0028303180635103065,2.0076486209565303,3.4612712970742443,3
0.05,23,0.5,4,1,-0.003824310478265369,0.0014151590317550422,2.003824310478265,3.4626864561059993,4
0.05,23,0.5,5,1,-0.0019121552391325736,0.0007075795158779652,2.0019121552391326,3.463394035621877,5
0.05,23,0.5,6,1,-0.0009560776195662868,0.0003537897579388716,2.0009560776195663,3.4637478253798157,6
0.05,23,0.5,7,1,-0.00047803880978292135,0.00017689487896976885,2.000478038809783,3.4639247202587855,7
0.05,23,0.5,8,1,-0.00023901940489179374,8.844743948399625e-05,2.0002390194048916,3.4640131676982695,8
0.05,23,0.5,9,1,-0.00011950970244600789,4.422371974222017e-05,2.0001195097024453,3.4640573914180117,9
0.05,23,0.5,10,1,-5.975485122267088e-05,2.2111859871554174e-05,2.0000597548512227,3.4640795032778833,10
0.05,23,0.5,11,1,-2.987742561133544e-05,1.1055929935555042e-05,2.0000298774256113,3.464090559207819,11
0.05,23,0.5,12,1,-1.4938712805889764e-05,5.527964966889343e-06,2.0000149387128054,3.464096087172786,12
0.05,23,0.5,13,1,-7.469356402944882e-06,2.763982483999783e-06,2.0000074693564027,3.4640988511552697,13
0.05,23,0.5,14,1,-3.734678201361419e-06,1.3819912423329583e-06,2.0000037346782014,3.464100233146512,14
0.05,23,0.5,15,1,-1.867339100902754e-06,6.909956213885238e-07,2.0000018673391002,3.4641009241421337,15
0.05,23,0.5,16,1,-9.336695503403547e-07,3.454978101391504e-07,2.0000009336695497,3.4641012696399436,16
0.05,23,0.5,17,1,-4.6683477461506584e-07,1.727489058467313e-07,2.0000004668347753,3.4641014423888494,17
0.05,23,0.5,18,1,-2.3341738764059983e-07,8.637445292336565e-08,2.0000002334173876,3.4641015287633024,18
0.05,23,0.5,19,1,-1.1670869382029991e-07,4.318722579554901e-08,2.000000116708694,3.464101571950528,19
0.05,23,0.5,20,1,-5.835434691014996e-08,2.159361311981911e-08,2.000000058354347,3.4641015935441413,20
0.05,23,0.5,21,1,-2.9177173344052676e-08,1.079680633786495e-08,2.0000000291771736,3.4641016043409474,21
0.05,47,0.5,1,1,-0.004207235543900012,-0.019034322961487105,2.0042072355438996,3.483135938099241,1
0.05,47,0.5,2,1,-0.002103617771950006,-0.009517161480743441,2.0021036177719496,3.4736187766184976,2
0.05,47,0.5,3,1,-0.001051808885975003,-0.00475858074037161,2.0010518088859746,3.468860195878126,3
0.05,47,0.5,4,1,-0.0005259044429872795,-0.0023792903701853607,2.0005259044429873,3.4664809055079404,4
0.05,47,0.5,5,1,-0.0002629522214936397,-0.0011896451850930134,2.000262952221494,3.4652912603228474,5
0.05,47,0.5,6,1,-0.00013147611074693089,-0.0005948225925462847,2.000131476110747,3.464696437730301,6
0.05,47,0.5,7,1,-6.573805537346544e-05,-0.0002974112962734754,2.0000657380553735,3.4643990264340276,7
0.05,47,0.5,8,1,-3.2869027686954766e-05,-0.00014870564813707077,2.0000328690276863,3.4642503207858906,8
0.05,47,0.5,9,1,-1.643451384292227e-05,-7.43528240680913e-05,2.000016434513843,3.4641759679618227,9
0.05,47,0.5,10,1,-8.217256921572158e-06,-3.7176412033934625e-05,2.0000082172569216,3.4641387915497885,10
0.05,47,0.5,11,1,-4.108628461008124e-06,-1.8588206017078335e-05,2.0000041086284606,3.4641202033437715,11
0.05,47,0.5,12,1,-2.0543142307261064e-06,-9.294103008761212e-06,2.00000205431423,3.4641109092407625,12
