rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.2,47,1.0,1,10,-0.14413349861263036,-0.02562651054034437,3.4999999999999996,0.8660254037844389,1
0.2,47,1.0,1,12,-0.01811765038381319,-0.03356533740644058,1.0000000000000793,-4.393013730563666e-14,1
0.2,47,1.0,1,13,-0.03781905129413721,0.03279411330942266,2.0,4.85722573273506e-17,1
0.2,47,1.0,1,14,-0.04180402178977172,0.22603007691161858,2.999999999999999,0.0,1
0.01,11,0.5,1,2,-0.008006175011802341,-0.001967933725487425,1.5080061836834808,2.6000441471517677,1
0.01,11,0.5,1,3,-0.004724554351645205,-0.001002852136736454,2.5047245874058346,2.5990790551509684,1
0.01,11,0.5,1,4,-0.005444988669598305,-0.003204406989505526,1.0054449959091407,1.7352552186777719,1
0.01,11,0.5,1,5,-0.006233378551567359,0.002024510997647888,2.006233395086103,1.7300262964692523,1
0.01,11,0.5,1,6,-0.008578936458870201,-0.0012412965887765859,3.0085789647845154,1.733292087426884,1
0.01,11,0.5,1,7,-0.00471819404015511,-0.003154616633877283,0.5047182000592711,0.8691800265828676,1
0.01,11,0.5,1,8,-0.0025505792885928136,-0.0036670495734597575,1.5025505920095497,0.869692455791946,1
0.01,11,0.5,1,9,-0.005806443851926302,-0.0011339023958240602,2.5058064628838554,0.8671593024161461,1
0.01,11,0.5,1,10,-0.0038372606279175603,-0.0023382102944386474,3.503837284022385,0.8683635893623767,1
0.01,11,0.5,1,12,-0.0034106390780691553,-0.0010877471142382092,1.0034106555901645,0.0010877471379152244,1
0.01,11,0.5,1,13,0.0017730523770680406,0.00017705996679779837,1.9982269710671876,-0.00017705996681213683,1
0.01,11,0.5,1,14,-0.0020817528862082657,0.002024032856162622,3.002081783455023,-0.00202403277309222,1
0.01,11,0.5,2,2,-0.004003087584461884,-0.000983966863697061,1.504003096099019,2.5990601802880704,2
0.01,11,0.5,2,3,-0.0023622772646907375,-0.0005014260060687281,2.5023623101411436,2.5985776291448994,2
0.01,11,0.5,2,4,-0.0027224943537186297,-0.0016022034905469607,1.002722501555422,1.733653015187225,2
0.01,11,0.5,2,5,-0.003116689303592768,0.0010122555244003184,2.00311670578251,1.7310385519936526,2
0.01,11,0.5,2,6,-0.004289468304063293,-0.0006206481562146537,3.0042894964804523,1.7326714392706695,2
0.01,11,0.5,2,7,-0.00235909703234527,-0.0015773083070762528,0.5023591030269259,0.8676027182757914,2
0.01,11,0.5,2,8,-0.0012752896478168685,-0.001833524783858953,1.5012753023617327,0.8678589310080871,2
0.01,11,0.5,2,9,-0.002903221942360368,-0.0005669511692946161,2.502903240941495,0.8665923512468515,2
0.01,11,0.5,2,10,-0.001918630323341386,-0.001169105035890794,3.5019186536990436,0.8671944843264858,2
0.01,11,0.5,2,12,-0.001705319540362682,-0.0005438735630055634,1.0017053360498018,0.000543873574909661,2
0.01,11,0.5,2,13,0.0008865261929011936,8.85299834042697e-05,1.9991134972600888,-8.852998340786713e-05,2
0.01,11,0.5,2,14,-0.001040876481296804,0.0010120164071901524,3.001040906973726,-0.0010120163659020675,2
0.01,11,0.5,3,2,-0.00200154383140394,-0.000491983432527654,1.5020015522676151,2.5985681968555427,3
0.01,11,0.5,3,3,-0.0011811386765359089,-0.0002507129721229795,2.5011811714646077,2.5983269161727764,3
0.01,11,0.5,3,4,-0.0013612471862989306,-0.0008011017431857059,1.001361254369123,1.7328519134440392,3
