rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure
0.05,47,0.5,10,1.0472032870188668,1.0472104032957383,1.0471975511965976,1.0471975511965976,1.2852099140703288e-05,2,2,4,2.000016434513843,3.4641759679618223,-8.217256921572158e-06,-3.7176412033934625e-05,True,observe_and_move,
0.05,47,0.5,11,1.0472004191337614,1.0472039772912902,1.0471975511965976,1.0471975511965976,6.426094692590922e-06,2,2,4,2.000008217256922,3.4641387915497885,-4.108628461008124e-06,-1.8588206017078335e-05,True,observe_and_move,
0.05,47,0.5,12,1.047198985171687,1.0472007642552246,1.0471975511965976,1.0471975511965976,3.2130586269385475e-06,2,2,4,2.0000041086284615,3.464120203343772,-2.0543142307261064e-06,-9.294103008761212e-06,True,observe_and_move,
0.05,47,0.5,13,1.0471982681857692,1.0471991577287312,1.0471975511965976,1.0471975511965976,1.6065321335467786e-06,2,2,4,2.00000205431423,3.4641109092407625,-1.027157114918964e-06,-4.647051504047539e-06,True,observe_and_move,
0.05,47,0.5,14,1.0471979096915902,1.0471983544633694,1.0471975511965976,1.0471975511965976,8.032667717650099e-07,2,2,4,2.000001027157115,3.464106262189259,-5.13578557459482e-07,-2.323525752245814e-06,True,observe_and_move,
0.05,47,0.5,15,1.0471977304441955,1.0471979528301598,1.0471975511965976,1.0471975511965976,4.016335621859213e-07,2,2,4,2.0000005135785575,3.4641039386635053,-2.56789278729741e-07,-1.1617628754567733e-06,True,observe_and_move,
0.05,47,0.5,16,1.0471976408204222,1.0471977520134228,1.0471975511965976,1.0471975511965976,2.0081682516881472e-07,2,2,4,2.0000002567892787,3.4641027769006314,-1.283946393648705e-07,-5.808814385055427e-07,True,observe_and_move,
0.05,47,0.5,17,1.0471975960085163,1.0471976516050212,1.0471975511965976,1.0471975511965976,1.004084235756153e-07,2,2,4,2.0000001283946394,3.464102196019192,-6.419731968243525e-08,-2.9044071880868216e-07,True,observe_and_move,
0.05,47,0.5,18,1.0471975736025585,1.0471976014008122,1.0471975511965976,1.0471975511965976,5.020421456336521e-08,2,2,4,2.000000064197319,3.464101905578472,-3.209865950815072e-08,-1.4522035884922957e-07,True,observe_and_move,
0.05,47,0.5,19,1.0471975623995786,1.0471975762987056,1.0471975511965976,1.0471975511965976,2.510210794781642e-08,2,2,4,2.0000000320986597,3.4641017603581146,-1.604932986509766e-08,-7.26101800907486e-08,True,observe_and_move,
0.05,47,0.5,20,1.0471975567980882,1.0471975637476518,1.0471975511965976,1.0471975511965976,1.2551054195952815e-08,2,2,4,2.00000001604933,3.464101687747934,-8.02466493254883e-09,-3.6305089823329695e-08,True,observe_and_move,
0.05,47,0.5,21,1.047197553997343,1.0471975574721248,1.0471975511965976,1.0471975511965976,6.27552720899871e-09,2,2,4,2.000000008024665,3.4641016514428444,0.0,0.0,False,stop_angle_threshold,
0.1,11,0.5,1,1.0360379629237373,1.0895891597267546,1.0471975511965976,1.0471975511965976,0.042391608530157,2,2,4,2.125944143531268,3.589140344413903,-0.06297207176563391,-0.06251936463807439,True,observe_and_move,
0.1,11,0.5,2,1.0415006370834607,1.0685222835793111,1.0471975511965976,1.0471975511965976,0.021324732382713485,2,2,4,2.0629720717656332,3.5266209797758274,-0.03148603588281662,-0.03125968231903653,True,observe_and_move,
0.1,11,0.5,3,1.0443189048806738,1.0578912431193594,1.0471975511965976,1.0471975511965976,0.010693691922761817,2,2,4,2.0314860358828173,3.4953612974567916,-0.015743017941408644,-0.015629841159518598,True,observe_and_move,
0.1,11,0.5,4,1.0457505630344146,1.0525521109626848,1.0471975511965976,1.0471975511965976,0.005354559766087119,2,2,4,2.015743017941408,3.479731456297273,-0.007871508970703989,-0.007814920579759299,True,observe_and_move,
0.1,11,0.5,5,1.0464721258920069,1.0498767445581172,1.0471975511965976,1.0471975511965976,0.0026791933615195607,2,2,4,2.0078715089707044,3.471916535717514,-0.003935754485352216,-0.003907460289879872,True,observe_and_move,
0.1,11,0.5,6,1.0468343538502407,1.0485376243586426,1.0471975511965976,1.0471975511965976,0.0013400731620449857,2,2,4,2.003935754485352,3.4680090754276347,-0.001967877242676108,-0.001953730144940158,True,observe_and_move,
0.1,11,0.5,7,1.0470158311128315,1.0478677066608555,1.0471975511965976,1.0471975511965976,0.00067015546425786,2,2,4,2.0019678772426754,3.4660553452826948,-0.000983938621337721,-0.00097686507247019,True,observe_and_move,
0.1,11,0.5,8,1.0471066607723676,1.0475326586198346,1.0471975511965976,1.0471975511965976,0.00033510742323694664,2,2,4,2.000983938621338,3.4650784802102246,-0.0004919693106690826,-0.000488432536235095,True,observe_and_move,
0.1,11,0.5,9,1.0471520983851794,1.0473651123272762,1.0471975511965976,1.0471975511965976,0.00016756113067861733,2,2,4,2.0004919693106684,3.4645900476739886,-0.0002459846553342082,-0.0002442162681171034,True,observe_and_move,
0.1,11,0.5,10,1.047174822890598,1.0472813336162372,1.0471975511965976,1.0471975511965976,8.378241963957755e-05,2,2,4,2.0002459846553338,3.4643458314058715,-0.00012299232766688206,-0.0001221081340585517,True,observe_and_move,
0.1,11,0.5,11,1.0471861865684668,1.0472394428699345,1.0471975511965976,1.0471975511965976,4.189167333690236e-05,2,2,4,2.0001229923276673,3.464223723271812,-6.149616383366308e-05,-6.105406702872074e-05,True,observe_and_move,
0.1,11,0.5,12,1.0471918687637425,1.047218497149138,1.0471975511965976,1.0471975511965976,2.0945952540429857e-05,2,2,4,2.000061496163833,3.464162669204783,-3.074808191660949e-05,-3.052703351436037e-05,True,observe_and_move,
0.1,11,0.5,13,1.0471947099504717,1.0472080242018351,1.0471975511965976,1.0471975511965976,1.0473005237487953e-05,2,2,4,2.000030748081917,3.464132142171269,-1.537404095852679e-05,-1.526351675740223e-05,True,observe_and_move,
0.1,11,0.5,14,1.04719613056611,1.047202787706458,1.0471975511965976,1.0471975511965976,5.2365098603956994e-06,2,2,4,2.0000153740409585,3.4641168786545116,-7.687020479263396e-06,-7.631758378590092e-06,True,observe_and_move,
0.1,11,0.5,15,1.0471968408794978,1.0472001694533384,1.0471975511965976,1.0471975511965976,2.6182567407495583e-06,2,2,4,2.0000076870204793,3.464109246896134,-3.843510239631698e-06,-3.815879189739135e-06,True,observe_and_move,
0.1,11,0.5,16,1.0471971960375837,1.0471988603254208,1.0471975511965976,1.0471975511965976,1.3091288231237286e-06,2,2,4,2.0000038435102403,3.4641054310169452,-1.921755120148916e-06,-1.907939595424679e-06,True,observe_and_move,
0.1,11,0.5,17,1.0471973736169746,1.0471982057611222,1.0471975511965976,1.0471975511965976,6.545645245825682e-07,2,2,4,2.0000019217551204,3.464103523077349,-9.608775601854802e-07,-9.539697973792727e-07,True,observe_and_move,
0.1,11,0.5,18,1.0471974624067573,1.047197878478888,1.0471975511965976,1.0471975511965976,3.272822903799266e-07,2,2,4,2.0000009608775593,3.464102569107551,-4.804387796486509e-07,-4.769848982455471e-07,True,observe_and_move,
