rho,seed,gain,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.05,11,1.0,1,10,1.2783556937316443,3.081570634224888,1.8032149404932434,1.289761425292083,3.141592653589793,1.8518312282977105,0.060022019364905255,1,3,3.5386600872277976,0.8891882880816439,2.220446049250313e-16,True,4,-0.03866008722779757,-0.023162884297205477,True,observe_and_move,
0.05,11,1.0,1,12,1.8537687531604858,1.3017164255919882,3.1277001284271124,1.8518312282977103,1.289761425292083,3.141592653589793,0.013892525162680691,1,3,1.0342876871704516,0.010653773178423332,1.199040866595169e-14,True,4,-0.03428768717045161,-0.010653773178423332,True,observe_and_move,
0.05,11,1.0,1,13,1.5751021180592972,1.5648474536870756,3.1399495717463726,1.5707963267948966,1.5707963267948966,3.141592653589793,0.0059488731078209955,1,3,1.9822044858046248,-0.0016429521302105089,4.440892098500626e-16,True,4,0.017795514195375173,0.0016429521302105089,True,observe_and_move,
0.05,11,1.0,1,14,1.2790678843121663,1.8348677920083587,3.113935676320525,1.289761425292083,1.8518312282977103,3.141592653589793,0.02765697726926808,1,3,3.020726924856109,-0.020455463195387828,2.2426505097428162e-14,True,4,-0.02072692485610883,0.020455463195387828,True,observe_and_move,
0.05,11,1.0,2,2,3.141592653589793,1.85183122829771,1.289761425292083,3.141592653589793,1.85183122829771,1.289761425292083,0.0,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,3,1.85183122829771,3.141592653589793,1.289761425292083,1.85183122829771,3.141592653589793,1.289761425292083,0.0,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,4,3.141592653589793,1.5707963267948961,1.570796326794897,3.141592653589793,1.5707963267948966,1.5707963267948968,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,5,2.2845207057396664,2.284520705739654,1.7141438957002662,2.2845207057396624,2.2845207057396624,1.7141438957002622,8.43769498715119e-15,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,6,1.5707963267949039,3.1415926535897927,1.5707963267948886,1.5707963267948966,3.141592653589793,1.5707963267948968,8.215650382226158e-15,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,7,3.141592653589793,1.2897614252920828,1.8518312282977105,3.141592653589793,1.289761425292083,1.8518312282977105,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,8,2.284520705739662,1.714143895700262,2.2845207057396624,2.2845207057396624,1.714143895700262,2.2845207057396624,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,9,1.7141438957002597,2.2845207057396655,2.2845207057396615,1.714143895700262,2.2845207057396624,2.2845207057396624,3.1086244689504383e-15,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,10,1.2897614252920828,3.141592653589793,1.8518312282977105,1.289761425292083,3.141592653589793,1.8518312282977105,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,12,1.8518312282976983,1.2897614252920846,3.141592653589783,1.8518312282977103,1.289761425292083,3.141592653589793,1.199040866595169e-14,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,13,1.5707963267948966,1.5707963267948966,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,0.0,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,11,1.0,2,14,1.2897614252920861,1.8518312282976876,3.141592653589774,1.289761425292083,1.8518312282977103,3.141592653589793,2.2648549702353193e-14,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.05,23,1.0,1,2,3.059741735941308,1.9087023272132868,1.3147412440249915,3.141592653589793,1.85183122829771,1.289761425292083,0.08185091764848496,1,3,1.538215748556206,2.53877521434888,4.440892098500626e-16,True,5,-0.03821574855620602,0.05930099700443581,True,observe_and_move,
0.05,23,1.0,1,3,1.824969342522463,3.135893598745952,1.310924256223489,1.85183122829771,3.141592653589793,1.289761425292083,0.026861885775247174,1,3,2.545640319761895,2.528029392617294,2.220446049250313e-16,True,4,-0.045640319761894865,0.07004681873602214,True,observe_and_move,
