condition,trial,bearing_std_deg,actuation_relative_std,status,stopped,final_below_1cm,final_below_1mm,joint_success_1cm,joint_success_1mm,first_1cm_slot,first_1cm_tx,sustained_1cm_from_slot,record_stays_1cm_after_first,first_1mm_slot,first_1mm_tx,sustained_1mm_from_slot,record_stays_1mm_after_first,max_position_error_m,rms_position_error_m,measurement_slots,transmitter_uses,movement_m,failed_local_fits,seconds,gain,budget_exhausted,fit_failed,link_bias_std_deg,source_kind,source_dir,summary_path,cache_sha256,tail100_local_decisions,tail100_nominal_selected_matches,tail100_nominal_selected_match_rate,tail100_holding_count,tail100_radial_clip_count,tail100_angular_clip_count
exact,31.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,26.0,104.0,26.0,True,34.0,136.0,34.0,True,1.2806941549799634e-06,4.7659234836456065e-07,78.0,312.0,57.47689556534225,0.0,3.5508545830016374,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_031,appendix1/evaluation_560/exact/trial_031/summary.json,56ee84495e8cb8759a534dd31d1bcaf359fe66ff9636ce5c33f96f13d7ed88b4,,,,,,
exact,32.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,36.0,144.0,36.0,True,45.0,180.0,45.0,True,1.1296896778980983e-06,5.18142589522697e-07,88.0,352.0,71.84843096048081,0.0,4.3231217499997,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_032,appendix1/evaluation_560/exact/trial_032/summary.json,13839d2a59af81cb5378d13e308bba09dfe131f37092b3acc06cd09e89ef8883,,,,,,
exact,33.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,37.0,148.0,37.0,True,47.0,188.0,47.0,True,1.5100011420918201e-06,6.047771457730108e-07,90.0,360.0,90.38389821524024,0.0,4.462004833003448,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_033,appendix1/evaluation_560/exact/trial_033/summary.json,73589a3b1f944369c4ab8b795b095c9ffb639cd090f656e13bcc9bd4673bc927,,,,,,
exact,34.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,1.127495542895499e-06,5.157699190473133e-07,92.0,368.0,82.25474228290662,0.0,5.015649832996132,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_034,appendix1/evaluation_560/exact/trial_034/summary.json,c41ea8fd8ae647eb8e25c48eb2e4f278e069b9859f28b7cfce35707845cba91d,,,,,,
exact,35.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,42.0,168.0,42.0,True,51.0,204.0,51.0,True,1.957502517461975e-06,7.533104704592854e-07,94.0,376.0,94.88637341443345,0.0,5.151284833002137,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_035,appendix1/evaluation_560/exact/trial_035/summary.json,47139734752c166fea5e440b6fda17b464d9bb525fd4a9699bf40c2bdbd6ab8c,,,,,,
exact,36.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,1.9672438497638832e-06,7.573678440525832e-07,92.0,368.0,77.80707214587531,0.0,4.643012833003013,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_036,appendix1/evaluation_560/exact/trial_036/summary.json,2c9b9dd332707cbbf114a620bd6b7166c8bc87afe0c5eaee4e2a66e308b1211f,,,,,,
exact,37.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,37.0,148.0,37.0,True,47.0,188.0,47.0,True,1.56222334770285e-06,6.188541370089963e-07,90.0,360.0,78.39496122487618,0.0,4.475420499999018,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_037,appendix1/evaluation_560/exact/trial_037/summary.json,3e6af7966a98f0006081aa3efc0fb2981597eed59945ace23e64a08e949dcb3f,,,,,,
exact,38.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,37.0,148.0,37.0,True,47.0,188.0,47.0,True,1.565127288253023e-06,6.185453976591361e-07,90.0,360.0,90.6749273391775,0.0,4.649408790995949,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_038,appendix1/evaluation_560/exact/trial_038/summary.json,d27961cf4743903d06c70a366a64d0beb5bb1a9c382625754340a99c9779f093,,,,,,
exact,39.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,44.0,176.0,44.0,True,53.0,212.0,53.0,True,1.625526524641473e-06,6.438806636297161e-07,96.0,384.0,128.08392666050756,0.0,5.061794583998562,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_039,appendix1/evaluation_560/exact/trial_039/summary.json,c50cf5262ad07974e4bc51e5d64662efe599f38629dab52e6471b27b307b88ad,,,,,,
exact,40.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,40.0,160.0,40.0,True,49.0,196.0,49.0,True,2.1027701685678926e-06,7.816798282852452e-07,92.0,368.0,116.9193082919864,0.0,5.176661624995177,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_040,appendix1/evaluation_560/exact/trial_040/summary.json,88a1c058fa98d362505c20cf5a156caec1620e397af45f528df615c812088296,,,,,,
exact,41.0,0.0,0.0,quiet_full_selected_cycle,True,True,True,True,True,38.0,152.0,38.0,True,47.0,188.0,47.0,True,2.100715724134189e-06,7.800809908555929e-07,90.0,360.0,77.50480961938928,0.0,4.976411417002964,0.5,False,False,0.0,frozen_appendix1_reuse,appendix1/evaluation_560/exact/trial_041,appendix1/evaluation_560/exact/trial_041/summary.json,3aadb7833978db8f3bb71248077f254df1a9ecfb85efddb9c5e3db428d0ab44e,,,,,,
