stage,round,measurement_slot_count,measurement_tx_count,relay_scalar_count,alpha_rad,beta_rad,c_hat_x,c_hat_y,c_hat_error_to_target_d,event,failure,calibration_delta_x,calibration_delta_y,calibration_action_applied,receiver_id,c_hat_x_used,c_hat_y_used,angle_error_to_target_rad,estimated_x,estimated_y,estimated_position_error_d,estimator_success,estimator_residual_rad,selected_indices,delta_x,delta_y,action_applied
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,4,1.9999999999999996,3.464101615137755,0.004832117458931862,1.0055662110050956,1.7320275325568149,0.00556625966690682,True,0.0,1;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,5,1.9999999999999996,3.464101615137755,0.00466360496081597,2.0052167291070577,1.730772983629018,0.00537094931997134,True,0.0,0;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,6,1.9999999999999996,3.464101615137755,0.0021759446699580742,3.0037699154111674,1.7260423617382643,0.007093213905330021,True,1.5543122344752192e-15,0;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,7,1.9999999999999996,3.464101615137755,0.0011656632475525175,0.5015086225254922,0.8691093748789364,0.003433193795305126,True,9.14823772291129e-14,1;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,8,1.9999999999999996,3.464101615137755,0.00223399813613101,1.5006056105196124,0.8635368074227608,0.002561225478715185,True,0.0,0;1,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,9,1.9999999999999996,3.464101615137755,0.004163743629513217,2.500086352013269,0.8611563229077072,0.004869846532935629,True,4.440892098500626e-16,0;1,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,10,1.9999999999999996,3.464101615137755,0.0031061052528058575,3.5008721365173767,0.8610918081071282,0.005010088663099296,True,0.0,0;2,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,13,1.9999999999999996,3.464101615137755,0.0025346731972302194,1.9973291596815907,-0.0025346700340879305,0.0036821108332237558,True,3.863576125695545e-14,0;1,0.0,0.0,False
dynamic_main,3,1,3,,,,,,,stop_estimated_position_budget,,,,,14,1.9999999999999996,3.464101615137755,0.008364344783460265,3.0029616642183643,-0.006260918096726911,0.006926077559215025,True,4.440892098500626e-16,0;1,0.0,0.0,False
dynamic_calibration,4,2,4,2,1.0471975511965979,1.0471975511965976,1.9999999999999996,3.464101615137755,6.280369834735101e-16,measure_current_reference,,,,,,,,,,,,,,,,,
dynamic_main,4,1,3,,,,,,,stop_estimated_position_budget,,,,,3,1.9999999999999996,3.464101615137755,0.0008064723015266395,2.5013934869908736,2.5958705499729633,0.0026089745338951542,True,3.197442310920451e-14,0;2,0.0,0.0,False
